"Suomalaisia lauluja","Olivier August Johan Carlenius"
"De zilveren schaatsen","Mary Mapes Dodge"
"The Transformation of Philip Jettan","Georgette Heyer and Stella Martin"
"The American Missionary, Vol. 37, No. 5, May, 1883","Various"
"History of the Reformation in Europe in the time of Calvin Vol. 3 of 8","Merle d'Aubigne"
"The Philosophy of Health, Vol. 1 of 2","Thomas Southwood-Smith"
"Fratris Felicis Fabri Evagatorium in Terrae Sanctae, Arabiae et Egypti peregrinationem, Volumen Secundum","Felix Fabri"
"The Poet Assassinated","Guillaume Apollinaire"
"Royal Romances of To-day","Kellogg Durland"
"The Discoverie of Witchcraft","Reginald Scot"
"The Young Mechanic","James Lukin"
"Harper's Round Table, February 23, 1897","Various"
"Koottuja suomalaisia lauluja","Various"
"The Divers","James Stamers"
"The Good Seed","Mark Mallory"
"The South Country","Edward Thomas"
"The Englishman's House","Charles James Richardson"
"History of the Church of Jesus Christ of Latter-day Saints Vol. 6","Joseph Smith and B. H. Roberts]"
"Manual of Parliamentary Practice","Luther S. Cushing"
"Whitman Mission National Historic Site","Erwin N. Thompson"
"Harper's Round Table, February 16, 1897","Various"
"Särjetyt jumalat","L. Onerva"
"Uhriliekki","Aarni Kouta"
"Pâques d'Islande","Anatole Le Braz"
"Baboe Dalima, or, The Opium Fiend","Michaël Théophile Hubert Perelaer"
"A Thousand-Mile Walk to the Gulf","John Muir"
"Nacha Regules, Novela","Manuel Gálvez"
"The Little Red Bag","Jerry Sohl"
"Le capitaine Fracasse","Théophile Gautier"
"The Autumn After Next","Margaret St. Clair"
"The Footprints of Time","Charles Bancroft"
"Cultural Exchange","J.F. Bone"
"Wongo and the Wise Old Crow","Grace Moon and Carl Moon"
"Jenny","Sigrid Undset"
"The Steam-Shovel Man","Ralph Delahaye Paine"
"La négresse blonde","Georges Fourest"
"Un mystérieux amour","Daniel Lesueur"
"To Each His Own","Jack Sharkey"
"History of the Church of Jesus Christ of Latter-day Saints Vol. 5","Joseph Smith"
"Industrial Condition of Women and Girls in Honolulu","Frances Blascoer"
"Oregon Historical Landmarks: Willamette Valley","Various"
"The Silverton Story","Mary Ann Olsen"
"G. A. Selwyn, D.D.","Louise Creighton"
"The Geology of Darling State Park","Harry W. Dodge, Jr"
"Slater's Shropshire Directory, 1859","Isaac Slater"
"Hunger","Knut Hamsun"
"The Book of the Bayeux Tapestry","Hilaire Belloc"
"Summer Guests","James H. Schmitz"
"Not Snow Nor Rain","Miriam Allen deFord"
"... und hätte der Liebe nicht","Anna Schieber"
"Lapset","Jalmari Finne"
"Caxi Neljättä Kymmendä Satua","Henrik Achrenius"
"Bad Drains; and How to Test Them","R. Harris Reeves"
"La Prisonnière (Sodome et Gomorrhe III)","Marcel Proust"
"The Lonely Warrior","Claude Carlos Washburn"
"The Living Animals of the World, Vol. 2 of 2","C. J. Cornish F. C. Selous, Harry Johnston, Louis Wain, and others]"
"Practical School Discipline","Ray Coppock Beery"
"A Song of the Open Road and Other Verses","Louis J. McQuilland"
"Tulijoutsen","Aarni Kouta"
"Pappiparka","Kustaa Juuti"
"Counterweight","Jerry Sohl"
"Voyage aux montagnes Rocheuses","Pierre-Jean de Smet"
"The Geology of Groton State Forest","Robert A. Christman"
"Burton Island State Park: Guide to the Interpretive Nature Trail and Hiking Trail","Stephen Antil"
"Reseanteckningar från Orienten åren 1843-1849 II","Georg August Wallin"
"Kultahanhi","Jacob Grimm"
"Meditations And Moral Sketches","François Guizot"
"The Book of the Lover and the Beloved","Ramón Lull"
"Der Schulmeister und sein Sohn","Karl Heinrich Caspari"
"Krawall","Ludwig Thoma"
"Leid und Freud einer Erzieherin in Brasilien","Ina von Binzer"
"Sketch of the 29th Regiment of Connecticut Colored Troops","J. J. Hill"
"Bargain Basement","Charles L. Fontenay"
"The American Missionary, Volume 37, No. 4, April, 1883","Various"
"The Boy Travellers in Australasia","Thomas W. Knox"
"The Night of Hoggy Darn","Richard McKenna"
"Virgin Ground","Rosel George Brown"
"Growing Season","F. L. Wallace"
"The History of the Standard Oil Company","Ida M. Tarbell"
"The American Consolidated Mines Company, 1903","Anonymous"
"Jäiset temppelit","Aarni Kouta"
"Lordi Clive","Thomas Babington Macaulay"
"The Magician's Own Book","Anonymous"
"Archibald Marshall, a Realistic Novelist","William Lyon Phelps"
"Downstream","Sigfrid Siwertz"
"Die Bären von Hohen-Esp","Nataly von Eschstruth"
"Baker's Dozens","Jim Harmon"
"The Good Work","Theodore L. Thomas"
"Harper's Round Table, February 9, 1897","Various"
"La gueuse parfumée","Paul Arène"
"Tuhlaajapoika","Paul Heyse"
"Maa-orja","Oskar Höcker"
"Jack the Englishman","H. Louisa Bedford"
"Recuerdos de mi vida (tomo 2 de 2)","Santiago Ramón y Cajal"
"Den finska Sampo-myten","Carl Axel Gottlund"
"Kaksi vankia","Paul Heyse"
"Ein kleines Kind","Karl Wartenburg"
"The Last Days of L. A.","George H. Smith"
"Around the Wicket Gate","C. H. Spurgeon"
"Essay On The Character And Influence Of Washington in the Revolution Of The United States Of America","François Guizot"
"Molly O'Rigge","Unknown"
"L'Âme Enchantée II: L'Été","Romain Rolland"
"Elpénor","Jean Giraudoux"
"Pipe Dream","Fritz Leiber"
"Sonnets and Verse","Hilaire Belloc"
"The Beginnings of Poetry","Francis Barton Gummere"
"Haney's Art of Training Animals","Anonymous"
"Two American Boys with the Allied Armies","Sherman Crockett"
"Wild Kindred","Jean M. Thompson"
"Old Houses in Holland","Sydney R. Jones"
"Al fronte","Luigi Barzini"
"La guerre des mondes","H. G. Wells"
"Star of Rebirth","Bernard Wall"
"Love and Moondogs","Richard McKenna"
"Car Pool","Rosel George Brown"
"The Battles of the World","J. Douglas Borthwick"
"Dr. Wainright's Patient","Edmund Yates"
"Story of the Riot","the Citizen's Protective League"
"In the Jag-Whiffing Service","David R. Bunch"
"Unohtumattomia sanoja","Paul Heyse"
"The Birds of Australia, Vol. 3 of 7","John Gould"
"New Zealand","William Reeves"
"I tre moschettieri, Vol. 4","Alexandre Dumas"
"I tre moschettieri, Vol. 3","Alexandre Dumas"
"I tre moschettieri, Vol. 2","Alexandre Dumas"
"I tre moschettieri, Vol. 1","Alexandre Dumas"
"Kettu Repolainen","Anni Swan"
"Two War Years in Constantinople","Harry Stuermer"
"My Commonplace Book","Various"
"The Granite Monthly. Vol. 2, No. 7. April, 1879","Various"
"Les Parisiennes d'à présent","Georges Montorgueil"
"Divertidas aventuras del nieto de Juan Moreira","Roberto Payró"
"Wolf Ear the Indian","Edward S. Ellis"
"The Fortunate Island and Other Stories","Max Adeler"
"A Modern Zoroastrian","S. Laing"
"The Log of the Ark by Noah","Irwin Leslie Gordon"
"Sketches of the War","Charles C. Nott"
"Satujen maailma","Jalmari Finne"
"Stories of the East","Leonard Woolf"
"Kean","Kasimir Edschmid"
"Uncle Wiggily's Story Book","Howard R. Garis"
"Two Whole Glorious Weeks","Will Worthington"
"Lentävä hollantilainen","A. H. Fogowitz"
"Das Buch vom Brüderchen","Gustaf af Geijerstam"
"Boys' Make-at-Home Things","Carolyn Sherwin Bailey and Marian Elizabeth Bailey"
"Harper's Round Table, February 2, 1897","Various"
"Fragments d'épopées romanes du XIIe siècle","Edward le Glay"
"The Rise and Fall of Prohibition","Charles Hanson Towne"
"De la mer aux Vosges","Franc Nohain"
"A Ride through Syria to Damascus and Baalbec and ascent of Mount Hermon","Edward Abram"
"Rat in the Skull","Rog Phillips"
"Lover and Husband","Ennis Graham"
"A Maid in Arcady","Ralph Henry Barbour"
"The Teenie Weenies in the Wildwood","William Donahey"
"Oeuvres complètes de Guy de Maupassant","Guy de Maupassant"
"Punasydän eli Metsien kummitus","P. B. St"
"Satellite Passage","Theodore L. Thomas"
"A New Era of Thought","Charles Howard Hinton"
"Glebe 1913/09, Vol. 1, No. 1, Songs, Sighs and Curses","Adolf Wolff"
"Industrial Poisoning","Joseph Rambousek"
"Under Honour's Flag","Eric Lisle"
"Der Tod des Tizian / Idylle","Hugo von Hofmannsthal"
"Meditations, Actual State Of Christianity, And On The Attacks Which Are Now Being Made Upon It","François Guizot"
"The Flame","Gabriele D'Annunzio"
"Women of Belgium Turning Tragedy to Triumph","Charlotte Kellogg"
"The Fireless Cook Book","Margaret Johnes Mitchell"
"The Postal Service, Fifth Edition","Various"
"Harper's Young People, November 14, 1882","Various"
"Half Around Pluto","Manly Wade Wellman"
"Paris romantique","Frances Milton Trollope and Jacques Boulenger"
"The Cinder Buggy","Garet Garrett"
"Welsh Nationality, and how alone it is to be saved","W. G. Davies"
"Man Alone","Don Berry"
"Dardistan in 1866, 1886 and 1893","G. W. Leitner"
"Le Pantalon Féminin","Pierre Dufay"
"Della architettura gotica","Carlo Troya"
"Shandy","Ron Goulart"
"Il fantasma di Canterville e il delitto di Lord Savile","Oscar Wilde"
"Aromatics and the Soul","Dan McKenzie"
"Der Spanier","Gustav Falke"
"The Pure Observers","B. J. Rogers"
"More Bed-Time Stories","Louise Chandler Moulton"
"The Big Blue Soldier","Grace Livingston Hill"
"Roman einer Ehe","Leo Tolstoi"
"Bergön pyyntimiehet","Onni Wetterhoff"
"Kullan Muru","Alfr. Saukkonen"
"Americans by Choice","John Palmer Gavit"
"The Seventy's Course in Theology, Third Year","B. H. Roberts"
"The Geologic Story of Yellowstone National Park","William R. Keefer"
"Montezuma Castle National Monument, Arizona","Anonymous"
"Visages d'hier et d'aujourd'hui","André Beaunier"
"Court Life From Within","Eulalia Infanta of Spain"
"Più che l'amore","Gabriele D'Annunzio"
"The Fishdollar Affair","R. M. McKenna"
"The epistle of Othea to Hector","Christine de Pisan"
"The Girl's Own Paper, Vol. 20, No. 1016, June 17, 1899","Various"
"The Girl's Own Paper, Vol. 20, No. 1000, February 25, 1899","Various"
"Radio-Active Substances","Sklodowska Curie"
"The Journal to Eliza and Various letters","Laurence Sterne"
"The greatest plague of life","Augustus Mayhew and Henry Mayhew"
"Mushroom and Toadstools","Worthington G. Smith"
"The South African Question","Olive Schreiner"
"The Chaldean Account of Genesis","George Smith and Archibald Henry Sayce"
"The Parochial History of Cornwall, Vol. 4 of 4","Davies Gilbert"
"The Parochial History of Cornwall, Vol. 3 of 4","Davies Gilbert"
"The Parochial History of Cornwall, Vol. 2 of 4","Davies Gilbert"
"The Parochial History of Cornwall, Vol. 1 of 4","Davies Gilbert"
"Harper's Young People, November 7, 1882","Various"
"The Criticism of the Fourth Gospel","William Sanday"
"La Comédie humaine, Volume XI","Honoré de Balzac"
"The Science of Brickmaking","Georg F. Harris"
"Liriche","Giuseppe Montanelli"
"Specimen","Charles V. DeVet"
"Studies in Classic American Literature","D. H. Lawrence"
"Thirteen years at the Russian court","Pierre Gilliard"
"The Used People Lot","Irving Fang"
"Parantumassa","Kalle Haapakoski"
"La sposa di Mènecle","Felice Cavallotti"
"Geofroy Tory","Auguste Bernard"
"El Ombú","William Henry Hudson"
"Follow the Ball","Ralph Henry Barbour"
"Virran kummitus","Edward Sylvester Ellis"
"The Trial of Captain John Kimber, for the Murder of Two Female Negro Slaves, on Board the Recovery, African Slave Ship","A Student of the Temple"
"Scenes and Portraits","Frederic Manning"
"The Girl's Own Paper, Vol. 20, No. 1014, June 3, 1899","Various"
"Woman Triumphant","R. Cronau"
"Tottisalmen perillinen","Anni Swan"
"Otava, Osa II","C. A. Gottlund"
"Kertomuksia","J. A. Bergman"
"The Downhill Side of Thirty","Virgil F. Shockley"
"Battlewrack","Frederick Britten Austin"
"The Fascinating Stranger And Other Stories","Booth Tarkington"
"The Owls' House","Crosbie Garstin"
"Mr. Justice Maxell","Edgar Wallace"
"Jean of Greenacres","Izola L. Forrester"
"The Dinner Club","H. C. McNeile"
"The Pageant of British History","J. Edward Parrott"
"The Torch-Bearers","George Kelly"
"Schein und Sein","Wilhelm Busch"
"Short Snorter","Charles Einstein"
"The Marrying Man","Joseph Farrell"
"The Girl's Own Paper, Vol. 20, No. 1015, June 10, 1899","Various"
"The Courtship of Animals","William Plane Pycraft"
"List of Post Offices in Canada, with the Names of the Postmasters on the 1st July 1874","Postmaster General"
"Homecoming","Miguel Hidalgo"
"About Algeria","Charles Thomas-Stanford"
"Rabbits Have Long Ears","Lawrence F. Willard"
"A Hand-book of Precious Stones","Meyer D. Rothschild"
"Deberes de buena sociedad","Camilo Fabra y Fontanills"
"Harper's Round Table, January 26, 1897","Various"
"Henry Esmondin historia","William Makepeace Thackeray"
"The Super Opener","Michael Zuroy"
"Powhatan; A Metrical Romance, in Seven Cantos","Seba Smith"
"Memories of Lincoln","Walt Whitman"
"A Naughty Biography and other poems","Mrs. Enoch Taylor"
"A Popular Account of Thugs and Dacoits, the Hereditary Garotters and Gang-Robbers of India","James Hutton"
"Rubens","Herrmann Knackfuß"
"Aus dem Morgenlande","Heinrich Brugsch"
"Feierabende","Peter Rosegger"
"Storia di Milano, Vol. 3","Pietro Verri"
"Storia di Milano, Vol. 2","Pietro Verri"
"Storia di Milano, Vol. 1","Pietro Verri"
"Whom The Gods Destroyed","Josephine Dodge Daskam Bacon"
"Miss Billy","Edith Keeley Stokely and Marion Kent Hurd"
"Valkeneva tie","Hilja Haahti"
"The Brooklyn Medical Journal, Vol. 2, No. 2, August, 1888","Various"
"The Seventy's Course in Theology, Fifth Year","B. H. Roberts"
"The Seventy's Course in Theology, Fourth Year","B. H. Roberts"
"The Seventy's Course in Theology, Second Year","B. H. Roberts"
"Meditations On The Essence Of Christianity, And On The Religious Questions Of The Day","François Guizot"
"Verses","Hilaire Belloc"
"Idols in the Heart","A. L. O. E"
"The Rural Life of England","William Howitt"
"Character Building","Booker T. Washington"
"Antic Hay","Aldous Huxley"
"Steve Brown's Bunyip and other Stories","James Arthur Barry and Rudyard Kipling"
"In this our world","Charlotte Perkins Gilman"
"Rimen en Teltsjes","Broerren Halbertsma"
"1900, or The last President","Ingersoll Lockwood"
"Toisen oma","Väinö Kataja"
"Miss Peck's Adventures","Anonymous"
"The American Missionary, Vol. 37, No. 3, March, 1883","Various"
"Peggy's Giant","M. D. Hillyard"
"Wealth against commonwealth","Henry Demarest Lloyd"
"London Clubs","Ralph Nevill"
"The Bustān of Sadi","Sadi"
"Harper's Round Table, January 19, 1897","Various"
"The Hundred and Other Stories","Gertrude Hall Brownell"
"Devil Worship","Isya Joseph"
"A Question of Identity","Frank Riley"
"Victor Hugo","Algernon Charles Swinburne"
"Lady Patricia","Rudolf Besier"
"El árbol de la ciencia","Pío Baroja"
"Frank Merriwell's Diamond Foes","Burt L. Standish"
"Conservation","Charles L. Fontenay"
"Teddy and the Mystery Deer","Howard Roger Garis"
"The Raider","Don Berry"
"Mother Goose's Melody","Anonymous"
"Midnight","Rutherford George Montgomery"
"When I Was a Little Girl","Zona Gale"
"From Office Boy to Reporter","Howard R. Garis"
"Highland Mary","Clayton Mackenzie Legge"
"Choyce Drollery: Songs and Sonnets","Various"
"The Border Bandits","J. W. Buel"
"Off Sandy Hook and other stories","Richard Dehan"
"The Mystery of Suicide Place","Mrs. Alex. McVeigh Miller"
"Les naufragés du Jonathan","Jules Verne"
"William Blake","Arthur Symons"
"The Twins of Emu Plains","Mary Grant Bruce"
"Norah of Billabong","Mary Grant Bruce"
"Jim and Wally","Mary Grant Bruce"
"From Billabong to London","Mary Grant Bruce"
"Eddie","Frank Riley"
"Captain Peabody","Rog Phillips"
"Class Book for The School of Musketry Hythe","E. C.  Wilford"
"London Labour and the London Poor, Vol. 2 of 4","Henry Mayhew"
"Kotkat","Hilja Haahti"
"Chile and Her People of To-day","Nevin O. Winter"
"Umwege","Hermann Hesse"
"Banks and Their Customers","Henry Warren"
"The Emblems of Fidelity","James Lane Allen"
"Learning Theory","James McConnell"
"The Real Tsaritza","Lili Dehn"
"Wissenschaft und Bildung (Katalog)","Anonymous"
"Kyläisiä lauluja","Larin-Kyösti"
"Hermano kaj Doroteo","Johann Wolfgang von Goethe"
"Dahinten in der Haide","Hermann Löns"
"Introducing Irony","Maxwell Bodenheim"
"History of Greece, Vol. 4 of 12","George Grote"
"Zina: the Slave Girl or Which the Traitor?","A. Thompson"
"A treatise on the art of making good wholesome bread of wheat, oats rye, barley and other farinaceous grains","Frederick Accum"
"Harper's Round Table, January 12, 1897","Various"
"Outlines of a Critical Theory of Ethics","John Dewey"
"Security","Bryce Walton"
"Observations on the Automaton Chess Player","Robert Gray"
"A Treatise on Fever","Thomas Southwood-Smith"
"New Bed-Time Stories","Louise Chandler Moulton"
"Clair de terre","André Breton"
"Laubstreu","Irene Forbes-Mosse"
"When William IV Was King","John Ashton"
"The Viking's Skull","John R. Carling"
"The Stars Incline","Jeanne Judson"
"RX","Alan E. Nourse"
"An Inquiry into the Principles of Political Oeconomy Vol. 1 of 2","James Steuart"
"The Life of Gen. Robert E. Lee, For Children","Mary L. Williamson"
"Elizabeth, Empress of Austria and Queen of Hungary","Karl Küchler"
"The Mystery of Lost River Canyon","Harry Castlemon"
"The Seven Purposes","Margaret Cameron"
"The Story of the Grail and the Passing of Arthur","Howard Pyle"
"The First Book of Eve","Edward Huskinson"
"The Japan expedition. Japan and around the world","J. Willett Spalding"
"The Little Review, Vol. 1, No. 1, March 1914","Various"
"Puppet Government","George Revelle"
"Kolme miestä matkalla","Eino Railo"
"Thomas Reid","A. Campbell Fraser"
"Westover of Wanalah","George Cary Eggleston"
"As Time Glides On","G. Thompson Hutchinson"
"Spring Morning","Frances Cornford"
"Going West","Basil King"
"Choix de cinquante dessins de Michel-Angelo","Michelangelo Buonarroti"
"Game Preserve","Rog Phillips"
"A Treatise on Electricity","Francis Penrose"
"History of the Peninsular War, Vol. 6 of 6","Robert Southey"
"History of the Peninsular War, Vol. 5 of 6","Robert Southey"
"History of the Peninsular War, Vol. 4 of 6","Robert Southey"
"History of the Peninsular War, Vol. 3 of 6","Robert Southey"
"History of the Peninsular War, Vol. 2 of 6","Robert Southey"
"History of the Peninsular War, Vol. 1 of 6","Robert Southey"
"South Sea Foam","Arnold Safroni-Middleton"
"The Poors","Harry Lorayne"
"Le Diable au Corps","Raymond Radiguet"
"Nella nebbia","Beatrice Speraz"
"Helena","Euripides"
"Chap-Books and Folk-Lore Tracts, Vol. 5 of 5","Anonymous"
"The Camel and the Needle's Eye","Arthur Ponsonby"
"Life and Writings of Thomas R. Malthus","Charles R. Drysdale"
